title,type,artist,year,source,source_id,tags,ship_ref,note,url,cover_img,img_note
Spaceship Interior,原画,Niara Clay,2025,artstation,d8eqDX,舱内结构|生活区|驾驶舱|管线细节,3,ArtStation 飞船内部空间与人机工效（主题: spaceship interior，2026-08 采集）,https://www.artstation.com/artwork/d8eqDX,https://cdna.artstation.com/p/assets/covers/images/079/899/704/large/niara-clay-niara-clay-space.jpg?1726110527,ArtStation CDN 原图
Sci Fi City Explorations,原画,Kevin Jick,2025,artstation,r9rQbE,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/r9rQbE,https://cdnb.artstation.com/p/assets/covers/images/054/608/591/large/kevin-jick-kevin-jick-sci-fi-city-thumbnail-kevinjick.jpg?1664924585,ArtStation CDN 原图
Walking in the rain Franco,原画,Tomás Rodriguez,2025,artstation,L30ODv,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/L30ODv,https://cdnb.artstation.com/p/assets/images/images/093/110/177/4k/tomas-rodriguez-artwork2.webp?1761622120,ArtStation CDN 原图
Sci-Fi City,原画,Sergey Zabelin,2025,artstation,GX6PbN,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/GX6PbN,https://cdna.artstation.com/p/assets/images/images/016/198/058/4k/sergey-zabelin-sci-fi-city-1920.jpg?1551279603,ArtStation CDN 原图
Saint Triumph City,原画,Federico Pelat,2025,artstation,ELlxE2,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/ELlxE2,https://cdnb.artstation.com/p/assets/images/images/042/713/487/4k/federico-pelat-triumph-city-thumb-copy1.jpg?1635258031,ArtStation CDN 原图
Gothic City,原画,Andy Walsh,2025,artstation,lRvDRY,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/lRvDRY,https://cdnb.artstation.com/p/assets/covers/images/053/999/397/large/andy-walsh-andy-walsh-thumb01.jpg?1663536545,ArtStation CDN 原图
sci-fi city,原画,Dmitriy Kuzin,2025,artstation,JlKe5d,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/JlKe5d,https://cdna.artstation.com/p/assets/images/images/023/132/228/4k/dmitriy-kuzin-sci-fi-city.jpg?1578220328,ArtStation CDN 原图
Deserted | Short Film - UE5,原画,Jan Trubač,2025,artstation,L3n905,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/L3n905,https://cdna.artstation.com/p/assets/covers/images/076/280/696/large/jan-trubac-jan-trubac-artstation-thumbnail-2jpg.jpg?1716599827,ArtStation CDN 原图
Sci Fi Concepts Misc 1,原画,Kevin Jick,2025,artstation,WBV5r2,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/WBV5r2,https://cdnb.artstation.com/p/assets/images/images/077/896/861/4k/kevin-jick-brutalist-block-kevin-jick-a.jpg?1720633811,ArtStation CDN 原图
Sci fi city keyframes,原画,Andrew Andreev,2025,artstation,J9yqVd,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/J9yqVd,https://cdna.artstation.com/p/assets/images/images/042/667/586/4k/andrew-andreev-render-1.jpg?1635150844,ArtStation CDN 原图
City Landmark,原画,Federico Pelat,2025,artstation,NxlQbD,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/NxlQbD,https://cdnb.artstation.com/p/assets/images/images/042/307/693/4k/federico-pelat-noname.jpg?1634141175,ArtStation CDN 原图
Sci-fi City,原画,Sergey Glushakov,2025,artstation,4DPLq,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/4DPLq,https://cdnb.artstation.com/p/assets/images/images/011/954/821/4k/sergey-glushakov-sci-fi-city-123.jpg?1532290480,ArtStation CDN 原图
Sci Fi Concepts Misc 2,原画,Kevin Jick,2025,artstation,YGBBkX,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/YGBBkX,https://cdnb.artstation.com/p/assets/covers/images/080/108/105/large/kevin-jick-kevin-jick-hunters-bazaar-kevin-jick-thumbnail.jpg?1726693908,ArtStation CDN 原图
Mega City Sprawl 2099,原画,Kevin Jick,2025,artstation,AlZ8eW,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/AlZ8eW,https://cdnb.artstation.com/p/assets/covers/images/061/594/005/large/kevin-jick-kevin-jick-kevin-jick-mega-city-sprawl-2099-thumb.jpg?1681196812,ArtStation CDN 原图
Lisbon Streets,原画,Georg Klein,2025,artstation,xJ3G61,未来城市|巨构建筑|垂直交通|赛博朋克,2,ArtStation 未来聚居形态与城市尺度（主题: sci-fi city，2026-08 采集）,https://www.artstation.com/artwork/xJ3G61,https://cdnb.artstation.com/p/assets/covers/images/099/352/807/large/georg-klein-georg-klein-lisbonstreetsthumbnail.webp?1779717152,ArtStation CDN 原图
Frozen Industrial - CG Environment + Breakdown,原画,Antoine Barbannaud,2025,artstation,RyvaYX,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/RyvaYX,https://cdna.artstation.com/p/assets/covers/images/076/592/060/large/antoine-barbannaud-antoine-barbannaud-thumbnail.jpg?1717347043,ArtStation CDN 原图
Megastructures Space Farm 2,原画,Neil Blevins,2025,artstation,nYK0Y9,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/nYK0Y9,https://cdna.artstation.com/p/assets/covers/images/039/596/970/large/neil-blevins-neil-blevins-thumb-mega2.jpg?1626359171,ArtStation CDN 原图
Megastructures Worldhouse Roof 2,原画,Neil Blevins,2025,artstation,5XLQg8,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/5XLQg8,https://cdna.artstation.com/p/assets/covers/images/039/551/972/large/neil-blevins-neil-blevins-thumb-mega2.jpg?1626236991,ArtStation CDN 原图
Aren Dust,原画,Max Schiller,2025,artstation,0nANle,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/0nANle,https://cdna.artstation.com/p/assets/images/images/042/043/192/4k/max-schiller-evilemperor-outside-v01-01-v03.jpg?1633500155,ArtStation CDN 原图
Megastructures Bernal Sphere 3,原画,Neil Blevins,2025,artstation,bWy2v,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/bWy2v,https://cdna.artstation.com/p/assets/covers/images/036/184/598/large/neil-blevins-neil-blevins-06.jpg?1616961542,ArtStation CDN 原图
Megastructures Ringworld 2,原画,Neil Blevins,2025,artstation,rONRa,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/rONRa,https://cdna.artstation.com/p/assets/covers/images/036/184/624/large/neil-blevins-neil-blevins-10.jpg?1616961599,ArtStation CDN 原图
Megastructure,原画,Maxime BiBi,2025,artstation,2x1d8v,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/2x1d8v,https://cdna.artstation.com/p/assets/images/images/018/345/678/4k/maxime-bibi-web-size-megastructure-jpg.jpg?1559040926,ArtStation CDN 原图
Return to base,原画,Tarmo Juhola,2025,artstation,EVyLQK,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/EVyLQK,https://cdna.artstation.com/p/assets/images/images/023/526/948/4k/tarmo-juhola-spaceport-copy.jpg?1579512820,ArtStation CDN 原图
Mass Data Uplink Array,原画,Ace Carman,2025,artstation,gRGOxZ,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/gRGOxZ,https://cdna.artstation.com/p/assets/covers/images/083/606/990/large/ace-carman-ace-carman-arraythumbnail.jpg?1736359450,ArtStation CDN 原图
Finale from Quixel - Rebirth (Unreal Engine 4),原画,Joe Garth,2025,artstation,Z5RbYw,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/Z5RbYw,https://cdnb.artstation.com/p/assets/covers/images/017/053/423/large/joe-garth-sh-final-thumb.jpg?1554450027,ArtStation CDN 原图
Megastructures Arcology 1,原画,Neil Blevins,2025,artstation,EVLeaA,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/EVLeaA,https://cdna.artstation.com/p/assets/covers/images/048/539/180/large/neil-blevins-neil-blevins-thumb-mega2.jpg?1650313008,ArtStation CDN 原图
Closeup from Quixel - Rebirth (Short Film),原画,Wiktor Öhman,2025,artstation,5850RO,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/5850RO,https://cdnb.artstation.com/p/assets/covers/images/017/150/249/large/wiktor-ohman-sh-buildingcloseup-thumb.jpg?1554829819,ArtStation CDN 原图
Abandoned colony,原画,Sergey Vasnev,2025,artstation,8erQVQ,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/8erQVQ,https://cdna.artstation.com/p/assets/images/images/030/464/986/4k/sergey-vasnev-colony-3.jpg?1600697438,ArtStation CDN 原图
Megastructures Alderson Disk 3,原画,Neil Blevins,2025,artstation,mWylv,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/mWylv,https://cdna.artstation.com/p/assets/covers/images/036/184/620/large/neil-blevins-neil-blevins-03.jpg?1616961578,ArtStation CDN 原图
Catwalks from Quixel - Rebirth (Short Film),原画,Wiktor Öhman,2025,artstation,Z5ODnN,超级巨构|戴森环|奥尼尔圆柱|工程美学,4,ArtStation 超大尺度太空人造物（主题: megastructure，2026-08 采集）,https://www.artstation.com/artwork/Z5ODnN,https://cdnb.artstation.com/p/assets/covers/images/017/053/215/large/wiktor-ohman-sh-entrance-thumb.jpg?1554448862,ArtStation CDN 原图
Abandoned Space Colony ROOM,原画,8 STUDIO,2025,artstation,4w9gn,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/4w9gn,https://cdna.artstation.com/p/assets/covers/images/012/834/306/large/room-8-studio-space-colony-preview-400x400.jpg?1536753071,ArtStation CDN 原图
Kitbash 3D Space Colony Kit Jort,原画,van Welbergen,2025,artstation,Y36O3,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/Y36O3,https://cdna.artstation.com/p/assets/images/images/010/348/184/4k/jort-van-welbergen-final-promo-art-full-res.jpg?1523957184,ArtStation CDN 原图
USCSS Pytheas- Cargo ship,原画,Kyle Brown,2025,artstation,oJeGVz,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/oJeGVz,https://cdnb.artstation.com/p/assets/images/images/091/043/589/4k/kyle-brown-69234f53-ad07-462b-aa24-5cce1b7fee4e.jpg?1755653009,ArtStation CDN 原图
Space Colony,原画,Giimann .,2025,artstation,4by914,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/4by914,https://cdna.artstation.com/p/assets/images/images/016/046/200/4k/giimann-space-st9.jpg?1550686890,ArtStation CDN 原图
Space,原画,colony Studio_QWN,2025,artstation,J9rE8A,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/J9rE8A,https://cdnb.artstation.com/p/assets/images/images/029/179/613/4k/su-jung-space-colony-sh-v01.jpg?1596703622,ArtStation CDN 原图
Futuristic Space Colony,原画,Giimann .,2025,artstation,mqWnkE,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/mqWnkE,https://cdnb.artstation.com/p/assets/images/images/016/148/137/4k/giimann-2space-st0002.jpg?1551098003,ArtStation CDN 原图
Space Colony C,原画,Giimann .,2025,artstation,XBKDKn,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/XBKDKn,https://cdna.artstation.com/p/assets/images/images/025/109/660/4k/giimann-c-space-colony6.jpg?1584646962,ArtStation CDN 原图
Space Colony,原画,Giimann .,2025,artstation,N5gWmJ,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/N5gWmJ,https://cdnb.artstation.com/p/assets/images/images/017/529/887/4k/giimann-nebula1.jpg?1556355965,ArtStation CDN 原图
Forgotten Colony Dead,原画,Space Tony,2025,artstation,DYxKde,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/DYxKde,https://cdnb.artstation.com/p/assets/images/images/100/794/939/4k/anthony-asset.jpg?1784070616,ArtStation CDN 原图
The Lost Space Colony,原画,Jake Fazekas,2025,artstation,48Obll,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/48Obll,https://cdna.artstation.com/p/assets/images/images/036/728/106/4k/jacob-fazekas-finalconcept.jpg?1618445808,ArtStation CDN 原图
Red Horizon : Space Colony 3D Kit,原画,Jose Vega,2025,artstation,K3O66G,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/K3O66G,https://cdnb.artstation.com/p/assets/covers/images/079/576/913/large/jose-vega-jose-vega-9-4.jpg?1725290341,ArtStation CDN 原图
Mining Colony Station Dead,原画,Space Tony,2025,artstation,qJkqXR,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/qJkqXR,https://cdnb.artstation.com/p/assets/images/images/094/765/757/4k/anthony-catillaz-anthony-catillaz-arcada.jpg?1766385438,ArtStation CDN 原图
Procedural Space Station Houdini,原画,Giimann .,2025,artstation,14RDPq,太空殖民|地外定居点|穹顶基地|生态圈,4,ArtStation 地外殖民与封闭生态系统（主题: space colony，2026-08 采集）,https://www.artstation.com/artwork/14RDPq,https://cdnb.artstation.com/p/assets/images/images/047/670/057/4k/giimann-space11-002.jpg?1648142553,ArtStation CDN 原图
325 Hard surface sci fi Alpha/Height brush set,原画,Jonas Ronnegard,2025,artstation,xBqlY,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/xBqlY,https://cdnb.artstation.com/p/assets/covers/images/001/901/059/large/jonas-ronnegard-artstation-thumb2.jpg?1454440289,ArtStation CDN 原图
Sci Fi Hard Surface Materials Trim Sheet,原画,Tyler Smith,2025,artstation,xJvLEm,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/xJvLEm,https://cdna.artstation.com/p/assets/images/images/032/016/806/4k/tyler-smith-coverimage01.jpg?1605227853,ArtStation CDN 原图
Sci-Fi Hard Surface KITBASH 490 DETAILS,原画,Oleg Ushenok,2025,artstation,G84Nna,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/G84Nna,https://cdnb.artstation.com/p/assets/covers/images/058/702/663/large/oleg-ushenok-oleg-ushenok-icon.jpg?1674763599,ArtStation CDN 原图
The UltraTaur,原画,W.I.P. OccultArt,2025,artstation,OvYNOw,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/OvYNOw,https://cdna.artstation.com/p/assets/covers/images/093/264/562/large/occultart-occultart-thumbnail-a01-004-003.webp?1762070204,ArtStation CDN 原图
Sci-Fi Shoes,原画,CORBAX STUDIO,2025,artstation,9mledq,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/9mledq,https://cdna.artstation.com/p/assets/covers/images/033/613/300/large/corbax-studio-corbax-studio-1.jpg?1610094546,ArtStation CDN 原图
Sci-Fi Hard Surface KITBASH 350 DETAILS,原画,Oleg Ushenok,2025,artstation,aY3aZz,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/aY3aZz,https://cdnb.artstation.com/p/assets/covers/images/036/450/629/large/oleg-ushenok-oleg-ushenok-icon.jpg?1617720132,ArtStation CDN 原图
Sci-Fi Hard Surface Kitbash,原画,Oleg Ushenok,2025,artstation,Poq658,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/Poq658,https://cdna.artstation.com/p/assets/covers/images/031/526/476/large/oleg-ushenok-oleg-ushenok-hsk-violet-icon.jpg?1603876808,ArtStation CDN 原图
Sci-Fi Hard Surface Kitbash,原画,Oleg Ushenok,2025,artstation,bKmyXg,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/bKmyXg,https://cdna.artstation.com/p/assets/covers/images/032/116/766/large/oleg-ushenok-oleg-ushenok-icon.jpg?1605535157,ArtStation CDN 原图
Sci-Fi Hard Surface KITBASH 420 DETAILS,原画,Oleg Ushenok,2025,artstation,3qddBg,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/3qddBg,https://cdnb.artstation.com/p/assets/covers/images/043/495/677/large/oleg-ushenok-oleg-ushenok-icon.jpg?1637434185,ArtStation CDN 原图
Sci-Fi Hard Surface KITBASH 350 DETAILS,原画,Oleg Ushenok,2025,artstation,68q1Nn,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/68q1Nn,https://cdnb.artstation.com/p/assets/covers/images/037/984/065/large/oleg-ushenok-oleg-ushenok-icon.jpg?1621866440,ArtStation CDN 原图
Sci-Fi Hard Surface KITBASH 430 DETAILS,原画,Oleg Ushenok,2025,artstation,KO4Gzo,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/KO4Gzo,https://cdnb.artstation.com/p/assets/covers/images/048/096/433/large/oleg-ushenok-oleg-ushenok-icon.jpg?1649193213,ArtStation CDN 原图
Junk Planet,原画,Eddie Mendoza,2025,artstation,1N2Pq,飞船概念|推进系统|船体造型|深空舰船,3,ArtStation 飞船整体造型与推进布局（主题: spaceship concept art，2026-08 采集）,https://www.artstation.com/artwork/1N2Pq,https://cdna.artstation.com/p/assets/images/images/001/184/938/4k/eddie-mendoza-junktownspaceship.jpg?1441770764,ArtStation CDN 原图
Sci-Fi Hard Surface Mechanical KITBASH 420 DETAILS,原画,Oleg Ushenok,2025,artstation,D5BgwA,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/D5BgwA,https://cdnb.artstation.com/p/assets/covers/images/033/921/399/large/oleg-ushenok-oleg-ushenok-icon-exposure.jpg?1610924468,ArtStation CDN 原图
40 Sci-Fi Hard-Surface Assets for Concept Design,原画,Jonathan Ching,2025,artstation,oOODKw,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/oOODKw,https://cdnb.artstation.com/p/assets/covers/images/013/715/391/large/jonathan-ching-ahs-promo-02.jpg?1540828770,ArtStation CDN 原图
350 Hard surface sci fi Alpha/Height VOL 2 [UPDATE02],原画,Jonas Ronnegard,2025,artstation,kmK4n,硬表面|工业设计|机械装甲|机能风,2,ArtStation 硬科幻工业机械细节（主题: hard surface sci-fi，2026-08 采集）,https://www.artstation.com/artwork/kmK4n,https://cdna.artstation.com/p/assets/covers/images/003/388/510/large/jonas-ronnegard-artstation-thumb2.jpg?1473173992,ArtStation CDN 原图
SCII - Nova Covert Ops - Griffin Ship,原画,Simon Fuchs,2025,artstation,gBKom,飞船概念|推进系统|船体造型|深空舰船,3,ArtStation 飞船整体造型与推进布局（主题: spaceship concept art，2026-08 采集）,https://www.artstation.com/artwork/gBKom,https://cdna.artstation.com/p/assets/covers/images/004/620/656/large/simon-fuchs-thumb-nova-dlc-griffin.jpg?1485047658,ArtStation CDN 原图
